time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1712625533999971600,36.6979716796875,177.39308225829154,1.729697895662667,-1,40.456514398023586,211.80308210570365,-1,7.832359665882323,1.4153658727994132,-86.93349659194827,0.18289830863139167
1712625534999971800,37.69797192382813,177.32473602890968,1.9093054343207116,-1,40.45650168973354,211.7347358763218,-1,7.845565845306821,1.4138738996631315,-86.93350521443281,0.04215479285532406
1712625535999973000,38.69797314453125,177.2322053676471,2.1001423399785977,-1,40.456500456407525,211.64220521505922,-1,8.21894481942191,1.4408201934835971,-86.9335134062924,0.18538779776861453
1712625536999971800,39.69797192382813,177.16516943275928,1.9862314855634884,-1,40.45650542773562,211.5751692801714,-1,8.662785448017889,1.4419860513623746,-86.93351400864545,0.07094079161032296
1712625537999972900,40.697972900390624,177.1320375278592,2.126131298318599,-1,40.45653361333579,211.54203737527132,-1,8.40344217704968,1.4398695597332662,-86.93351264125417,0.33368063859417874
1712625538999972600,41.69797265625,177.09219795744866,1.93815572445858,-1,40.45654107959982,211.50219780486077,-1,8.224286277168575,1.4147513162205123,-86.93350451387954,0.2485343018346069
1712625539999972900,42.697972900390624,176.9977929480374,1.6265445634904352,-1,40.45655041941973,211.4077927954495,-1,7.88344084252841,1.4158263243470068,-86.93352331931193,0.25869277138741764
1712625540999972400,43.69797241210937,176.97213238384575,1.6307173562506436,-1,40.45652749886149,211.38213223125786,-1,7.422138366239234,1.415676553342516,-86.93353722193929,0.30403773760926267
1712625541999971600,44.6979716796875,176.96978186722845,1.8833378661634776,-1,40.456533016894824,211.37978171464056,-1,7.445751177847972,1.4408116605924457,-86.9335543846699,0.49887325007899536
1712625542999971800,45.69797192382813,176.95193429291248,1.96151209277599,-1,40.45654003387028,211.3619341403246,-1,7.786114424310213,1.4409298876486478,-86.93355550192554,0.15282742023057885
1712625543999971300,46.697971435546876,176.97042328119278,1.7816517192314267,-1,40.456552537835016,211.3804231286049,-1,7.75253632398945,1.4392069125244482,-86.93357467749769,0.3360904525703094
1712625544999970000,47.69796997070313,176.99512392934412,1.3883621491781153,-1,40.45655296877981,211.40512377675623,-1,7.358771653724671,1.383915968367036,-86.93358063618564,0.10237315780200917
1712625545999970300,48.69797021484375,176.9915569955483,1.8810592283473897,-1,40.45655650644862,211.40155684296042,-1,7.617077304852434,1.4083866700743923,-86.93358085976358,0.10904123932869113
1712625546999969300,49.69796923828125,176.96290376223624,1.943147977967319,-1,40.45656179268514,211.37290360964835,-1,7.894680389970656,1.4096868150325363,-86.93357716782766,0.08136704402386151
