time,seconds_elapsed,dBFS
1710791194071000000,13.86,-23.974489212036133
1710791194171000000,13.96,-23.938358306884766
1710791194271000000,14.06,-24.50571060180664
1710791194380000000,14.169,-23.46936798095703
1710791194488000000,14.277,-23.615747451782227
1710791194588000000,14.377,-23.505970001220703
1710791194688000000,14.477,-24.752849578857422
1710791194788000000,14.577,-24.49089813232422
1710791194905000000,14.694,-22.619169235229492
1710791195005000000,14.794,-22.445980072021484
1710791195106000000,14.894999755859375,-22.439353942871094
1710791195206000000,14.995000244140625,-23.368803024291992
1710791195305000000,15.094,-23.371826171875
1710791195415000000,15.204,-22.031131744384766
1710791195523000000,15.312,-23.837427139282227
1710791195623000000,15.412,-23.416738510131836
1710791195723000000,15.512,-21.11396026611328
1710791195823000000,15.612,-22.420066833496094
1710791195923000000,15.712,-22.7069034576416
1710791196024000000,15.813,-24.107019424438477
1710791196124000000,15.913,-23.607378005981445
1710791196224000000,16.013,-23.7763614654541
1710791196324000000,16.113,-23.423799514770508
1710791196424000000,16.213,-23.988845825195312
1710791196524000000,16.313,-23.605810165405273
1710791196641000000,16.43,-24.876401901245117
1710791196741000000,16.53,-24.134366989135742
1710791196841000000,16.63,-24.17647361755371
1710791196941000000,16.73,-22.98436164855957
1710791197042000000,16.830999755859374,-24.8768253326416
1710791197142000000,16.931000244140623,-22.9447021484375
1710791197242000000,17.030999755859376,-23.561954498291016
1710791197342000000,17.131000244140626,-23.484146118164062
1710791197442000000,17.230999755859376,-23.282329559326172
1710791197543000000,17.332,-23.271705627441406
1710791197643000000,17.432,-23.545211791992188
1710791197743000000,17.532,-24.13818359375
1710791197843000000,17.632,-23.56480598449707
1710791197943000000,17.732,-22.846834182739258
1710791198043000000,17.832,-24.07733917236328
1710791198143000000,17.932,-20.63954734802246
1710791198244000000,18.033,-23.147920608520508
1710791198344000000,18.133,-22.174346923828125
1710791198444000000,18.233,-22.510658264160156
1710791198544000000,18.333,-21.589942932128906
1710791198644000000,18.433,-22.90528678894043
1710791198744000000,18.533,-24.15180015563965
1710791198844000000,18.633,-23.506641387939453
1710791198945000000,18.734,-24.82431983947754
1710791199045000000,18.834,-22.977523803710938
1710791199145000000,18.934,-24.255441665649414
1710791199245000000,19.034,-23.01968002319336
1710791199345000000,19.134,-23.129745483398438
1710791199445000000,19.234,-24.45663070678711
1710791199562000000,19.350999755859377,-24.31870460510254
1710791199662000000,19.451000244140626,-24.043333053588867
1710791199779000000,19.568,-24.24294090270996
1710791199879000000,19.668,-22.50813865661621
1710791199979000000,19.768,-24.074790954589844
1710791200079000000,19.868,-24.62165069580078
1710791200180000000,19.969,-25.636672973632812
1710791200280000000,20.069,-22.564781188964844
1710791200380000000,20.169,-24.18659019470215
1710791200480000000,20.269,-23.64176368713379
1710791200589000000,20.378,-21.31014633178711
1710791200697000000,20.486,-23.043121337890625
1710791200797000000,20.586,-23.24497413635254
1710791200914000000,20.702999755859373,-23.00027847290039
1710791201014000000,20.803000244140627,-24.52939796447754
1710791201131000000,20.92,-22.360559463500977
1710791201231000000,21.02,-23.59177589416504
1710791201331000000,21.12,-24.634876251220703
1710791201431000000,21.22,-23.077943801879883
1710791201532000000,21.321,-23.763154983520508
1710791201631000000,21.42,-23.84041404724121
1710791201732000000,21.521,-24.422046661376953
1710791201832000000,21.621,-24.061683654785156
1710791201933000000,21.722,-23.50141143798828
1710791202049000000,21.838,-24.730192184448242
1710791202149000000,21.938,-24.14914321899414
1710791202266000000,22.054999755859374,-22.080568313598633
1710791202366000000,22.155000244140624,-23.303861618041992
1710791202466000000,22.254999755859377,-24.181650161743164
1710791202566000000,22.355000244140626,-21.878093719482422
1710791202666000000,22.454999755859376,-23.659791946411133
1710791202767000000,22.556,-21.30829620361328
1710791202867000000,22.656,-23.209346771240234
